aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 etymologinen, etymologisen, etymologista, etymologisena, etymologiseen, etymologisten, etymologisia, etymologisina, etymologisissa, etymologisiin
 etäinen, etäisen, etäistä, etäisenä, etäiseen, etäisten, etäisiä, etäisinä, etäisissä, etäisiin
 eufemistinen, eufemistisen, eufemistista, eufemistisena, eufemistiseen, eufemististen, eufemistisia, eufemistisina, eufemistisissa, eufemistisiin
 euforinen, euforisen, euforista, euforisena, euforiseen, euforisten, euforisia, euforisina, euforisissa, euforisiin
 faktinen, faktisen, faktista, faktisena, faktiseen, faktisten, faktisia, faktisina, faktisissa, faktisiin
 fakultatiivinen, fakultatiivisen, fakultatiivista, fakultatiivisena, fakultatiiviseen, fakultatiivisten, fakultatiivisia, fakultatiivisina, fakultatiivisissa, fakultatiivisiin
 falski, falskin, falskia, falskina, falskiin, falskien, falskeja, falskeina, falskeissa, falskeihin
 fanaattinen, fanaattisen, fanaattista, fanaattisena, fanaattiseen, fanaattisten, fanaattisia, fanaattisina, fanaattisissa, fanaattisiin
 fantastinen, fantastisen, fantastista, fantastisena, fantastiseen, fantastisten, fantastisia, fantastisina, fantastisissa, fantastisiin
 farmakologinen, farmakologisen, farmakologista, farmakologisena, farmakologiseen, farmakologisten, farmakologisia, farmakologisina, farmakologisissa, farmakologisiin
 fataali, fataalin, fataalia, fataalina, fataaliin, fataaleiden, fataaleita, fataaleina, fataaleissa, fataaleihin
 fataalinen, fataalisen, fataalista, fataalisena, fataaliseen, fataalisten, fataalisia, fataalisina, fataalisissa, fataalisiin
 fatalistinen, fatalistisen, fatalistista, fatalistisena, fatalistiseen, fatalististen, fatalistisia, fatalistisina, fatalistisissa, fatalistisiin
 feminiininen, feminiinisen, feminiinistä, feminiinisenä, feminiiniseen, feminiinisten, feminiinisiä, feminiinisinä, feminiinisissä, feminiinisiin
 feministinen, feministisen, feminististä, feministisenä, feministiseen, feminististen, feministisiä, feministisinä, feministisissä, feministisiin
 fennistinen, fennistisen, fennististä, fennistisenä, fennistiseen, fennististen, fennistisiä, fennistisinä, fennistisissä, fennistisiin
 fenomenaalinen, fenomenaalisen, fenomenaalista, fenomenaalisena, fenomenaaliseen, fenomenaalisten, fenomenaalisia, fenomenaalisina, fenomenaalisissa, fenomenaalisiin
 fenomenologinen, fenomenologisen, fenomenologista, fenomenologisena, fenomenologiseen, fenomenologisten, fenomenologisia, fenomenologisina, fenomenologisissa, fenomenologisiin
 feodaalinen, feodaalisen, feodaalista, feodaalisena, feodaaliseen, feodaalisten, feodaalisia, feodaalisina, feodaalisissa, feodaalisiin
 feodalistinen, feodalistisen, feodalistista, feodalistisena, feodalistiseen, feodalististen, feodalistisia, feodalistisina, feodalistisissa, feodalistisiin
 figuratiivinen, figuratiivisen, figuratiivista, figuratiivisena, figuratiiviseen, figuratiivisten, figuratiivisia, figuratiivisina, figuratiivisissa, figuratiivisiin
 fiksu, fiksun, fiksua, fiksuna, fiksuun, fiksujen, fiksuja, fiksuina, fiksuissa, fiksuihin
 fiktiivinen, fiktiivisen, fiktiivistä, fiktiivisenä, fiktiiviseen, fiktiivisten, fiktiivisiä, fiktiivisinä, fiktiivisissä, fiktiivisiin
 filantrooppinen, filantrooppisen, filantrooppista, filantrooppisena, filantrooppiseen, filantrooppisten, filantrooppisia, filantrooppisina, filantrooppisissa, filantrooppisiin
 filmaattinen, filmaattisen, filmaattista, filmaattisena, filmaattiseen, filmaattisten, filmaattisia, filmaattisina, filmaattisissa, filmaattisiin
 filologinen, filologisen, filologista, filologisena, filologiseen, filologisten, filologisia, filologisina, filologisissa, filologisiin
 filosofinen, filosofisen, filosofista, filosofisena, filosofiseen, filosofisten, filosofisia, filosofisina, filosofisissa, filosofisiin
 finaalinen, finaalisen, finaalista, finaalisena, finaaliseen, finaalisten, finaalisia, finaalisina, finaalisissa, finaalisiin
 flegmaattinen, flegmaattisen, flegmaattista, flegmaattisena, flegmaattiseen, flegmaattisten, flegmaattisia, flegmaattisina, flegmaattisissa, flegmaattisiin
 foneettinen, foneettisen, foneettista, foneettisena, foneettiseen, foneettisten, foneettisia, foneettisina, foneettisissa, foneettisiin
 foniatrinen, foniatrisen, foniatrista, foniatrisena, foniatriseen, foniatristen, foniatrisia, foniatrisina, foniatrisissa, foniatrisiin
 fonologinen, fonologisen, fonologista, fonologisena, fonologiseen, fonologisten, fonologisia, fonologisina, fonologisissa, fonologisiin
 formaali, formaalin, formaalia, formaalina, formaaliin, formaaleiden, formaaleita, formaaleina, formaaleissa, formaaleihin
 formaalinen, formaalisen, formaalista, formaalisena, formaaliseen, formaalisten, formaalisia, formaalisina, formaalisissa, formaalisiin
 formalistinen, formalistisen, formalistista, formalistisena, formalistiseen, formalististen, formalistisia, formalistisina, formalistisissa, formalistisiin
 fragmentaarinen, fragmentaarisen, fragmentaarista, fragmentaarisena, fragmentaariseen, fragmentaaristen, fragmentaarisia, fragmentaarisina, fragmentaarisissa, fragmentaarisiin
 frontaalinen, frontaalisen, frontaalista, frontaalisena, frontaaliseen, frontaalisten, frontaalisia, frontaalisina, frontaalisissa, frontaalisiin
 fundamentaalinen, fundamentaalisen, fundamentaalista, fundamentaalisena, fundamentaaliseen, fundamentaalisten, fundamentaalisia, fundamentaalisina, fundamentaalisissa, fundamentaalisiin
 fundamentalistinen, fundamentalistisen, fundamentalistista, fundamentalistisena, fundamentalistiseen, fundamentalististen, fundamentalistisia, fundamentalistisina, fundamentalistisissa, fundamentalistisiin
 funktionaalinen, funktionaalisen, funktionaalista, funktionaalisena, funktionaaliseen, funktionaalisten, funktionaalisia, funktionaalisina, funktionaalisissa, funktionaalisiin
 funktionalistinen, funktionalistisen, funktionalistista, funktionalistisena, funktionalistiseen, funktionalististen, funktionalistisia, funktionalistisina, funktionalistisissa, funktionalistisiin
 futurologinen, futurologisen, futurologista, futurologisena, futurologiseen, futurologisten, futurologisia, futurologisina, futurologisissa, futurologisiin
 fysiatrinen, fysiatrisen, fysiatrista, fysiatrisena, fysiatriseen, fysiatristen, fysiatrisia, fysiatrisina, fysiatrisissa, fysiatrisiin
 fysikaalinen, fysikaalisen, fysikaalista, fysikaalisena, fysikaaliseen, fysikaalisten, fysikaalisia, fysikaalisina, fysikaalisissa, fysikaalisiin
 fysiologinen, fysiologisen, fysiologista, fysiologisena, fysiologiseen, fysiologisten, fysiologisia, fysiologisina, fysiologisissa, fysiologisiin
 fyysinen, fyysisen, fyysistä, fyysisenä, fyysiseen, fyysisten, fyysisiä, fyysisinä, fyysisissä, fyysisiin
 galvaaninen, galvaanisen, galvaanista, galvaanisena, galvaaniseen, galvaanisten, galvaanisia, galvaanisina, galvaanisissa, galvaanisiin
 gastronominen, gastronomisen, gastronomista, gastronomisena, gastronomiseen, gastronomisten, gastronomisia, gastronomisina, gastronomisissa, gastronomisiin
 gemmologinen, gemmologisen, gemmologista, gemmologisena, gemmologiseen, gemmologisten, gemmologisia, gemmologisina, gemmologisissa, gemmologisiin
 geneettinen, geneettisen, geneettistä, geneettisenä, geneettiseen, geneettisten, geneettisiä, geneettisinä, geneettisissä, geneettisiin
 geodeettinen, geodeettisen, geodeettista, geodeettisena, geodeettiseen, geodeettisten, geodeettisia, geodeettisina, geodeettisissa, geodeettisiin
 geologinen, geologisen, geologista, geologisena, geologiseen, geologisten, geologisia, geologisina, geologisissa, geologisiin
 geometrinen, geometrisen, geometrista, geometrisena, geometriseen, geometristen, geometrisia, geometrisina, geometrisissa, geometrisiin
 geriatrinen, geriatrisen, geriatrista, geriatrisena, geriatriseen, geriatristen, geriatrisia, geriatrisina, geriatrisissa, geriatrisiin
 giganttinen, giganttisen, giganttista, giganttisena, giganttiseen, giganttisten, giganttisia, giganttisina, giganttisissa, giganttisiin
 globaali, globaalin, globaalia, globaalina, globaaliin, globaaleiden, globaaleita, globaaleina, globaaleissa, globaaleihin
 globaalinen, globaalisen, globaalista, globaalisena, globaaliseen, globaalisten, globaalisia, globaalisina, globaalisissa, globaalisiin
 gnostisistinen, gnostisistisen, gnostisistista, gnostisistisena, gnostisistiseen, gnostisististen, gnostisistisia, gnostisistisina, gnostisistisissa, gnostisistisiin
 graafinen, graafisen, graafista, graafisena, graafiseen, graafisten, graafisia, graafisina, graafisissa, graafisiin
 grafologinen, grafologisen, grafologista, grafologisena, grafologiseen, grafologisten, grafologisia, grafologisina, grafologisissa, grafologisiin
 grammaattinen, grammaattisen, grammaattista, grammaattisena, grammaattiseen, grammaattisten, grammaattisia, grammaattisina, grammaattisissa, grammaattisiin
 haaveellinen, haaveellisen, haaveellista, haaveellisena, haaveelliseen, haaveellisten, haaveellisia, haaveellisina, haaveellisissa, haaveellisiin
 haikea, haikean, haikeaa, haikeana, haikeaan, haikeiden, haikeita, haikeina, haikeissa, haikeisiin
 haitallinen, haitallisen, haitallista, haitallisena, haitalliseen, haitallisten, haitallisia, haitallisina, haitallisissa, haitallisiin
 hajanainen, hajanaisen, hajanaista, hajanaisena, hajanaiseen, hajanaisten, hajanaisia, hajanaisina, hajanaisissa, hajanaisiin
 hakuinen, hakuisen, hakuista, hakuisena, hakuiseen, hakuisten, hakuisia, hakuisina, hakuisissa, hakuisiin
 hallinnollinen, hallinnollisen, hallinnollista, hallinnollisena, hallinnolliseen, hallinnollisten, hallinnollisia, hallinnollisina, hallinnollisissa, hallinnollisiin
 halukas, halukkaan, halukasta, halukkaana, halukkaaseen, halukkaiden, halukkaita, halukkaina, halukkaissa, halukkaisiin
 hassu, hassun, hassua, hassuna, hassuun, hassujen, hassuja, hassuina, hassuissa, hassuihin
 hatara, hataran, hataraa, hatarana, hataraan, hatarien, hataria, hatarina, hatarissa, hatariin
 hauska, hauskan, hauskaa, hauskana, hauskaan, hauskojen, hauskoja, hauskoina, hauskoissa, hauskoihin
 havainnollinen, havainnollisen, havainnollista, havainnollisena, havainnolliseen, havainnollisten, havainnollisia, havainnollisina, havainnollisissa, havainnollisiin
 hedelmällinen, hedelmällisen, hedelmällistä, hedelmällisenä, hedelmälliseen, hedelmällisten, hedelmällisiä, hedelmällisinä, hedelmällisissä, hedelmällisiin
 hektinen, hektisen, hektistä, hektisenä, hektiseen, hektisten, hektisiä, hektisinä, hektisissä, hektisiin
 hekumallinen, hekumallisen, hekumallista, hekumallisena, hekumalliseen, hekumallisten, hekumallisia, hekumallisina, hekumallisissa, hekumallisiin
 heleä, heleän, heleää, heleänä, heleään, heleiden, heleitä, heleinä, heleissä, heleisiin
 helkkari, helkkarin, helkkaria, helkkarina, helkkariin, helkkareiden, helkkareita, helkkareina, helkkareissa, helkkareihin
 hellä, hellän, hellää, hellänä, hellään, hellien, helliä, hellinä, hellissä, helliin
 helpottunut, helpottuneen, helpottunutta, helpottuneena, helpottuneeseen, helpottuneiden, helpottuneita, helpottuneina, helpottuneissa, helpottuneisiin
 helteinen, helteisen, helteistä, helteisenä, helteiseen, helteisten, helteisiä, helteisinä, helteisissä, helteisiin
 hemaiseva, hemaisevan, hemaisevaa, hemaisevana, hemaisevaan, hemaisevien, hemaisevia, hemaisevina, hemaisevissa, hemaiseviin
 hempeä, hempeän, hempeää, hempeänä, hempeään, hempeiden, hempeitä, hempeinä, hempeissä, hempeisiin
 henkevä, henkevän, henkevää, henkevänä, henkevään, henkevien, henkeviä, henkevinä, henkevissä, henkeviin
 henkinen, henkisen, henkistä, henkisenä, henkiseen, henkisten, henkisiä, henkisinä, henkisissä, henkisiin
 heppoinen, heppoisen, heppoista, heppoisena, heppoiseen, heppoisten, heppoisia, heppoisina, heppoisissa, heppoisiin
 hereä, hereän, hereää, hereänä, hereään, hereiden, hereitä, hereinä, hereissä, hereisiin
 herkullinen, herkullisen, herkullista, herkullisena, herkulliseen, herkullisten, herkullisia, herkullisina, herkullisissa, herkullisiin
 hermeettinen, hermeettisen, hermeettistä, hermeettisenä, hermeettiseen, hermeettisten, hermeettisiä, hermeettisinä, hermeettisissä, hermeettisiin
 hermostunut, hermostuneen, hermostunutta, hermostuneena, hermostuneeseen, hermostuneiden, hermostuneita, hermostuneina, hermostuneissa, hermostuneisiin
 hieno, hienon, hienoa, hienona, hienoon, hienojen, hienoja, hienoina, hienoissa, hienoihin
 hienoinen, hienoisen, hienoista, hienoisena, hienoiseen, hienoisten, hienoisia, hienoisina, hienoisissa, hienoisiin
 hienostunut, hienostuneen, hienostunutta, hienostuneena, hienostuneeseen, hienostuneiden, hienostuneita, hienostuneina, hienostuneissa, hienostuneisiin
 hiipivä, hiipivän, hiipivää, hiipivänä, hiipivään, hiipivien, hiipiviä, hiipivinä, hiipivissä, hiipiviin
 hiljainen, hiljaisen, hiljaista, hiljaisena, hiljaiseen, hiljaisten, hiljaisia, hiljaisina, hiljaisissa, hiljaisiin
 hilpeä, hilpeän, hilpeää, hilpeänä, hilpeään, hilpeiden, hilpeitä, hilpeinä, hilpeissä, hilpeisiin
 himmeä, himmeän, himmeää, himmeänä, himmeään, himmeiden, himmeitä, himmeinä, himmeissä, himmeisiin
 himokas, himokkaan, himokasta, himokkaana, himokkaaseen, himokkaiden, himokkaita, himokkaina, himokkaissa, himokkaisiin
 hirmuinen, hirmuisen, hirmuista, hirmuisena, hirmuiseen, hirmuisten, hirmuisia, hirmuisina, hirmuisissa, hirmuisiin
 hirveä, hirveän, hirveää, hirveänä, hirveään, hirveiden, hirveitä, hirveinä, hirveissä, hirveisiin
 hirvittävä, hirvittävän, hirvittävää, hirvittävänä, hirvittävään, hirvittävien, hirvittäviä, hirvittävinä, hirvittävissä, hirvittäviin
 hohdokas, hohdokkaan, hohdokasta, hohdokkaana, hohdokkaaseen, hohdokkaiden, hohdokkaita, hohdokkaina, hohdokkaissa, hohdokkaisiin
 huikea, huikean, huikeaa, huikeana, huikeaan, huikeiden, huikeita, huikeina, huikeissa, huikeisiin
 huikenteleva, huikentelevan, huikentelevaa, huikentelevana, huikentelevaan, huikentelevien, huikentelevia, huikentelevina, huikentelevissa, huikenteleviin
 huikentelevainen, huikentelevaisen, huikentelevaista, huikentelevaisena, huikentelevaiseen, huikentelevaisten, huikentelevaisia, huikentelevaisina, huikentelevaisissa, huikentelevaisiin
 huima, huiman, huimaa, huimana, huimaan, huimien, huimia, huimina, huimissa, huimiin
 huimaava, huimaavan, huimaavaa, huimaavana, huimaavaan, huimaavien, huimaavia, huimaavina, huimaavissa, huimaaviin
 hullu, hullun, hullua, hulluna, hulluun, hullujen, hulluja, hulluina, hulluissa, hulluihin
 hullunkurinen, hullunkurisen, hullunkurista, hullunkurisena, hullunkuriseen, hullunkuristen, hullunkurisia, hullunkurisina, hullunkurisissa, hullunkurisiin
 humoristinen, humoristisen, humoristista, humoristisena, humoristiseen, humorististen, humoristisia, humoristisina, humoristisissa, humoristisiin
 hunajainen, hunajaisen, hunajaista, hunajaisena, hunajaiseen, hunajaisten, hunajaisia, hunajaisina, hunajaisissa, hunajaisiin
 huolehtivainen, huolehtivaisen, huolehtivaista, huolehtivaisena, huolehtivaiseen, huolehtivaisten, huolehtivaisia, huolehtivaisina, huolehtivaisissa, huolehtivaisiin
 huolellinen, huolellisen, huolellista, huolellisena, huolelliseen, huolellisten, huolellisia, huolellisina, huolellisissa, huolellisiin
 huomaavainen, huomaavaisen, huomaavaista, huomaavaisena, huomaavaiseen, huomaavaisten, huomaavaisia, huomaavaisina, huomaavaisissa, huomaavaisiin
 huomattava, huomattavan, huomattavaa, huomattavana, huomattavaan, huomattavien, huomattavia, huomattavina, huomattavissa, huomattaviin
 huono, huonon, huonoa, huonona, huonoon, huonojen, huonoja, huonoina, huonoissa, huonoihin
 hupaisa, hupaisan, hupaisaa, hupaisana, hupaisaan, hupaisien, hupaisia, hupaisina, hupaisissa, hupaisiin
 hupsu, hupsun, hupsua, hupsuna, hupsuun, hupsujen, hupsuja, hupsuina, hupsuissa, hupsuihin
 hurja, hurjan, hurjaa, hurjana, hurjaan, hurjien, hurjia, hurjina, hurjissa, hurjiin
 hurmaava, hurmaavan, hurmaavaa, hurmaavana, hurmaavaan, hurmaavien, hurmaavia, hurmaavina, hurmaavissa, hurmaaviin
 hurskas, hurskaan, hurskasta, hurskaana, hurskaaseen, hurskaiden, hurskaita, hurskaina, hurskaissa, hurskaisiin
 hydraulinen, hydraulisen, hydraulista, hydraulisena, hydrauliseen, hydraulisten, hydraulisia, hydraulisina, hydraulisissa, hydraulisiin
 hygieeninen, hygieenisen, hygieenistä, hygieenisenä, hygieeniseen, hygieenisten, hygieenisiä, hygieenisinä, hygieenisissä, hygieenisiin
 hyinen, hyisen, hyistä, hyisenä, hyiseen, hyisten, hyisiä, hyisinä, hyisissä, hyisiin
 hypnoottinen, hypnoottisen, hypnoottista, hypnoottisena, hypnoottiseen, hypnoottisten, hypnoottisia, hypnoottisina, hypnoottisissa, hypnoottisiin
 hysteerinen, hysteerisen, hysteeristä, hysteerisenä, hysteeriseen, hysteeristen, hysteerisiä, hysteerisinä, hysteerisissä, hysteerisiin
 hyveellinen, hyveellisen, hyveellistä, hyveellisenä, hyveelliseen, hyveellisten, hyveellisiä, hyveellisinä, hyveellisissä, hyveellisiin
 hyväksyttävä, hyväksyttävän, hyväksyttävää, hyväksyttävänä, hyväksyttävään, hyväksyttävien, hyväksyttäviä, hyväksyttävinä, hyväksyttävissä, hyväksyttäviin
